account_id,customer_id,account_type,account_status,open_date,current_balance,credit_limit
1,1,Credit Card,Active,2022-10-08,0.0,2000.0
2,2,Credit Card,Active,2013-07-02,0.0,12000.0
3,3,Checking,Active,2010-06-14,776050.59,
4,4,Checking,Active,2023-05-26,142528.63,
5,5,Savings,Active,2013-05-04,274551.22,
6,6,Checking,Active,2010-05-15,1017454.72,
7,7,Checking,Active,2017-12-10,-465.73,
8,8,Checking,Active,2022-06-15,99829.47,
9,9,Checking,Active,2024-12-25,15976.4,
10,10,Savings,Active,2021-12-06,338578.04,
11,11,Savings,Active,2016-05-06,834087.66,
12,12,Savings,Active,2013-08-21,964696.38,
13,13,Certificate of Deposit,Active,2025-02-24,10304.03,
14,14,Savings,Active,2017-04-18,193.73,
15,15,Checking,Active,2012-02-04,809632.83,
16,16,Credit Card,Active,2020-07-09,-1026.43,8000.0
17,17,Credit Card,Active,2017-08-10,0.0,2000.0
18,18,Checking,Active,2019-05-22,341160.67,
19,19,Checking,Active,2015-04-23,1190375.54,
20,20,Savings,Active,2025-09-07,18619.76,
21,21,Checking,Active,2012-07-16,808172.57,
22,22,Savings,Active,2013-10-07,1116620.0,
23,23,Savings,Active,2022-06-25,213783.45,
24,24,Checking,Active,2019-09-08,594392.12,
25,25,Savings,Active,2011-08-07,1222820.29,
26,26,Savings,Inactive,2020-06-18,174709.58,
27,27,Credit Card,Active,2021-01-23,0.0,7500.0
28,28,Credit Card,Inactive,2014-06-18,0.0,6000.0
29,29,Savings,Active,2019-12-17,488477.53,
30,30,Savings,Active,2016-01-02,1478960.04,
31,31,Certificate of Deposit,Active,2010-07-27,36893.85,
32,32,Credit Card,Active,2021-01-23,0.0,12000.0
33,33,Credit Card,Active,2011-02-27,0.0,5000.0
34,34,Credit Card,Active,2016-04-28,0.0,2000.0
35,35,Savings,Active,2025-07-30,14958.63,
36,36,Checking,Inactive,2016-05-06,655987.61,
37,37,Checking,Inactive,2017-06-14,475442.1,
38,38,Checking,Active,2020-10-23,227946.37,
39,39,Checking,Active,2010-05-19,422045.92,
40,40,Savings,Active,2021-12-20,161538.95,
41,41,Savings,Active,2020-04-10,257884.77,
42,42,Savings,Active,2020-11-24,323443.37,
43,43,Checking,Active,2019-09-11,562613.02,
44,44,Credit Card,Active,2021-06-18,0.0,3000.0
45,45,Credit Card,Active,2016-02-28,0.0,12000.0
46,46,Savings,Active,2023-12-11,153531.23,
47,47,Credit Card,Active,2015-09-12,0.0,15000.0
48,48,Certificate of Deposit,Active,2021-08-23,59248.48,
49,49,Checking,Active,2023-09-30,111714.44,
50,50,Checking,Active,2019-01-13,136771.8,
51,51,Savings,Active,2014-10-13,849003.41,
52,52,Savings,Active,2020-09-13,334637.76,
53,53,Checking,Active,2021-11-20,229007.32,
54,54,Certificate of Deposit,Inactive,2017-07-26,1394.83,
55,55,Checking,Active,2021-04-21,221732.47,
56,56,Savings,Active,2018-01-25,423471.15,
57,57,Savings,Active,2022-04-09,184415.09,
58,58,Credit Card,Active,2022-03-04,-823.96,5000.0
59,59,Credit Card,Active,2017-09-02,0.0,15000.0
60,60,Checking,Active,2016-12-10,4474645.08,
61,61,Checking,Active,2019-11-17,259395.25,
62,62,Checking,Active,2021-12-13,96337.1,
63,63,Savings,Active,2018-04-18,679586.11,
64,64,Checking,Active,2025-03-20,51460.36,
65,65,Credit Card,Active,2013-12-11,0.0,75000.0
66,66,Checking,Active,2019-01-10,457130.38,
67,67,Savings,Active,2014-03-01,700390.38,
68,68,Checking,Active,2015-06-21,804642.75,
69,69,Credit Card,Active,2018-11-14,0.0,10000.0
70,70,Certificate of Deposit,Active,2019-04-24,65034.53,
71,71,Checking,Active,2022-06-18,193370.35,
72,72,Savings,Active,2023-04-10,137926.29,
73,73,Credit Card,Inactive,2021-11-17,0.0,2000.0
74,74,Checking,Active,2013-11-15,134030.01,
75,75,Checking,Active,2016-03-19,646563.34,
76,76,Credit Card,Active,2025-11-17,-112.2,5000.0
77,77,Checking,Active,2024-07-04,-477.35,
78,78,Credit Card,Active,2024-04-17,0.0,3000.0
79,79,Checking,Active,2011-05-17,-456.3,
80,80,Checking,Active,2014-07-24,750545.88,
81,81,Checking,Active,2022-01-10,628839.5,
82,82,Credit Card,Active,2011-06-20,0.0,2000.0
83,83,Certificate of Deposit,Active,2020-11-27,6104.96,
84,84,Credit Card,Inactive,2011-06-22,0.0,20000.0
85,85,Credit Card,Active,2018-06-06,0.0,6000.0
86,86,Checking,Active,2025-09-18,17296.18,
87,87,Savings,Active,2023-06-07,90768.92,
88,88,Checking,Active,2014-01-25,1293363.05,
89,89,Savings,Active,2010-01-14,1464115.39,
90,90,Checking,Active,2012-09-19,630548.88,
91,91,Savings,Active,2012-11-09,901193.22,
92,92,Checking,Active,2017-10-11,289894.73,
93,93,Credit Card,Active,2018-07-10,0.0,4000.0
94,94,Checking,Active,2011-03-11,141817.18,
