emp_id,customer_id,employment_status,annual_income,employer_name,years_employed,date_employed
1,1,full-time,51075,Topiczoom,15,2009-12-03
2,2,self-employed,46291,self-employed,,
3,3,full-time,59830,Rhynyx,2,2023-08-14
4,4,full-time,64501,Eabox,5,2020-06-13
5,5,part-time,20248,Kwimbee,14,2011-11-29
6,6,full-time,74889,Yakidoo,1,2024-10-25
7,7,unemployed,0,N/A,0,
8,8,self-employed,38397,Freelance,,
9,9,part-time,24732,Flashpoint,14,2011-06-18
10,10,full-time,82740,Oyope,14,2011-01-22
11,11,full-time,80535,Oyoyo,5,2020-10-14
12,12,full-time,70116,Chatterbridge,13,2012-01-13
13,13,full-time,55543,Brainlounge,4,2021-10-15
14,14,unemployed,0,N/A,0,
15,15,full-time,68549,Fadeo,15,2010-10-21
16,16,full-time,68314,Miboo,7,2018-08-11
17,17,full-time,65068,Roomm,4,2021-03-13
18,18,full-time,61749,Browsedrive,3,2021-12-17
19,19,full-time,121363,Jabberstorm,12,2013-07-08
20,20,full-time,72712,Ailane,5,2020-01-01
21,21,full-time,70387,Teklist,11,2014-08-31
22,22,full-time,82222,Skidoo,8,2017-09-04
23,23,full-time,60408,Bubblemix,13,2012-09-09
24,24,self-employed,104421,self-employed,,
25,25,full-time,74797,Twitterbridge,5,2020-05-02
26,26,part-time,31083,Wikido,15,2010-11-20
27,27,full-time,59488,Eimbee,5,2020-07-15
28,28,full-time,68178,Tanoodle,11,2014-07-28
29,29,self-employed,77531,self-employed,,
30,30,self-employed,136405,self-employed,,
31,31,full-time,63095,Lajo,3,2022-03-29
32,32,full-time,195507,Skibox,13,2012-06-13
33,33,full-time,47356,Vinte,4,2021-03-08
34,34,full-time,50672,Gigaclub,3,2022-01-27
35,35,full-time,46245,Devify,12,2013-08-17
36,36,full-time,78289,Oyope,1,2024-01-26
37,37,full-time,64997,Mymm,9,2016-09-05
38,38,full-time,53452,Fliptune,8,2017-06-23
39,39,self-employed,36239,self-employed,,
