payment_id,loan_id,payment_date,amount_due,amount_paid,interest_paid,payment_status
1,1,2021-09-29,299.1,299.1,43.45,On-Time
2,1,2021-10-29,299.1,299.1,40.08,On-Time
3,1,2021-11-29,299.1,299.1,36.67,On-Time
4,1,2021-12-29,299.1,299.1,33.22,On-Time
5,1,2022-01-29,299.1,299.1,29.72,On-Time
6,1,2022-02-28,299.1,299.1,26.17,On-Time
7,1,2022-03-29,299.1,299.1,22.58,On-Time
8,1,2022-04-29,299.1,299.1,18.94,On-Time
9,1,2022-05-29,299.1,299.1,15.25,On-Time
10,1,2022-06-29,299.1,299.1,11.51,On-Time
11,1,2022-07-29,299.1,299.1,7.72,On-Time
12,1,2022-08-29,299.1,299.1,3.89,On-Time
13,2,2022-06-04,175.62,175.62,61.75,On-Time
14,2,2022-07-04,175.62,175.62,60.37,On-Time
15,2,2022-08-04,175.62,175.62,58.98,On-Time
16,2,2022-09-04,175.62,175.62,57.57,On-Time
17,2,2022-10-04,175.62,175.62,56.14,On-Time
18,2,2022-11-04,175.62,175.62,54.69,On-Time
19,2,2022-12-04,175.62,175.62,53.23,On-Time
20,2,2023-01-04,175.62,175.62,51.74,On-Time
21,2,2023-02-04,175.62,175.62,50.24,On-Time
22,2,2023-03-04,175.62,175.62,48.73,On-Time
23,2,2023-04-04,175.62,175.62,47.19,On-Time
24,2,2023-05-04,175.62,175.62,45.63,On-Time
25,2,2023-06-04,175.62,175.62,44.06,On-Time
26,2,2023-07-04,175.62,175.62,42.47,On-Time
27,2,2023-08-04,175.62,175.62,40.85,On-Time
28,2,2023-09-04,175.62,175.62,39.22,On-Time
29,2,2023-10-04,175.62,175.62,37.57,On-Time
30,2,2023-11-04,175.62,175.62,35.9,On-Time
31,2,2023-12-04,175.62,175.62,34.21,On-Time
32,2,2024-01-04,175.62,175.62,32.5,On-Time
33,2,2024-02-04,175.62,175.62,30.76,On-Time
34,2,2024-03-04,175.62,175.62,29.01,On-Time
35,2,2024-04-04,175.62,175.62,27.23,On-Time
36,2,2024-05-04,175.62,175.62,25.44,On-Time
37,2,2024-06-04,175.62,175.62,23.62,On-Time
38,2,2024-07-04,175.62,175.62,21.78,On-Time
39,2,2024-08-04,175.62,175.62,19.91,On-Time
40,2,2024-09-04,175.62,175.62,18.03,On-Time
41,2,2024-10-04,175.62,175.62,16.12,On-Time
42,2,2024-11-04,175.62,175.62,14.19,On-Time
43,2,2024-12-04,175.62,175.62,12.24,On-Time
44,3,2018-10-24,506.79,506.79,211.15,On-Time
45,3,2018-11-24,506.79,506.79,207.82,On-Time
46,3,2018-12-24,506.79,506.79,204.44,On-Time
47,3,2019-01-24,506.79,506.79,201.03,On-Time
48,3,2019-02-24,506.79,506.79,197.57,On-Time
49,3,2019-03-24,506.79,506.79,194.08,On-Time
50,3,2019-04-24,506.79,506.79,190.55,On-Time
51,3,2019-05-24,506.79,506.79,186.98,On-Time
