loan_id,application_id,customer_id,start_date,loan_duration_months,original_amount,interest_rate,current_status,remaining_balance
1,4,1407,2021-08-29,12,3300,15.8,Paid Off,0.0
2,8,1455,2022-05-04,36,5100,14.53,Active,681.73
3,9,3766,2018-09-24,48,18700,13.55,Defaulted,9027.53
4,14,2746,2019-06-07,72,414700,12.81,Active,40122.01
5,17,2915,2020-07-29,48,25400,19.61,Paid Off,0.0
6,19,1368,2021-08-23,24,10900,20.64,Paid Off,0.0
7,20,974,2023-09-29,24,10500,17.15,Late,4361.54
8,21,3648,2019-04-29,24,9500,8.82,Paid Off,0.0
9,23,1391,2020-08-09,48,17000,19.82,Paid Off,0.0
10,24,3441,2018-03-23,24,8000,19.43,Paid Off,0.0
11,25,3438,2023-03-18,48,7400,8.54,Active,4469.52
12,26,4599,2023-06-27,48,6600,13.73,Active,4535.39
13,32,4085,2019-02-09,24,1500,16.91,Paid Off,0.0
14,33,1208,2020-08-13,24,3500,14.44,Paid Off,0.0
15,34,2916,2022-04-03,24,3000,17.46,Paid Off,0.0
16,36,4493,2022-05-05,48,81900,11.96,Active,31727.65
17,38,2708,2022-11-02,48,7800,14.99,Active,4152.48
18,39,3886,2020-01-28,48,5800,21.84,Paid Off,0.0
19,43,2154,2020-11-14,36,15200,21.45,Paid Off,0.0
20,44,3575,2022-04-21,24,5700,13.14,Paid Off,0.0
21,45,352,2018-01-30,48,22800,17.54,Paid Off,0.0
22,46,4534,2023-01-07,24,3700,17.68,Paid Off,0.0
23,48,2858,2021-11-07,24,9200,21.34,Paid Off,0.0
24,50,159,2018-11-03,48,24000,17.95,Paid Off,0.0
25,51,735,2019-05-08,48,15000,21.51,Paid Off,0.0
26,52,3424,2020-07-19,24,2000,16.45,Paid Off,0.0
27,53,2041,2020-06-21,36,21900,11.81,Defaulted,10070.15
28,54,1333,2018-06-09,24,9000,19.63,Paid Off,0.0
29,57,2861,2018-06-06,36,8200,11.07,Paid Off,0.0
30,59,2848,2020-08-10,48,41100,17.17,Paid Off,0.0
31,60,3003,2023-09-03,48,7300,10.44,Active,5195.09
32,62,1210,2019-02-06,24,9400,17.6,Paid Off,0.0
