loan_id,application_id,customer_id,start_date,loan_duration_months,original_amount,interest_rate,current_status,remaining_balance
1,1,4969,2020-12-18,12,2400,12.36,Paid Off,0.0
2,3,4760,2023-01-17,36,6400,10.42,Active,410.2
3,4,1407,2021-09-15,12,3300,8.6,Paid Off,0.0
4,5,3115,2020-07-29,48,15700,16.22,Paid Off,0.0
5,6,46,2022-09-04,24,3100,13.83,Paid Off,0.0
6,7,1235,2022-07-30,24,3500,10.1,Paid Off,0.0
7,8,1455,2022-05-02,36,5100,15.95,Paid Off,0.0
8,9,3766,2018-10-01,48,18700,20.09,Paid Off,0.0
9,10,981,2022-07-17,12,2900,8.5,Paid Off,0.0
10,11,4408,2023-07-22,48,88300,8.04,Active,40254.61
11,12,1555,2023-06-16,36,13500,10.03,Active,2951.09
12,13,1129,2020-12-06,48,34300,18.04,Paid Off,0.0
13,19,1368,2021-08-25,24,10900,16.09,Paid Off,0.0
14,20,974,2023-09-23,24,10500,12.29,Paid Off,0.0
15,21,3648,2019-04-28,24,9500,8.55,Paid Off,0.0
16,23,1391,2020-08-17,48,17000,13.92,Paid Off,0.0
17,25,3438,2023-03-17,48,7400,8.07,Active,2735.4
18,26,4599,2023-06-27,48,6600,20.55,Active,3265.21
19,27,4989,2020-11-13,24,1900,14.28,Paid Off,0.0
20,28,2585,2021-10-16,36,11700,7.66,Paid Off,0.0
21,29,4167,2018-07-22,60,63600,14.92,Defaulted,31174.66
22,33,1208,2020-08-23,24,3500,12.21,Paid Off,0.0
23,34,2916,2022-04-17,24,3000,8.82,Paid Off,0.0
24,35,3908,2020-08-07,60,49400,11.06,Defaulted,23062.9
25,36,4493,2022-05-15,48,81900,11.67,Active,12434.32
26,38,2708,2022-10-18,48,7800,14.29,Active,2197.04
27,39,3886,2020-02-03,48,5800,16.01,Paid Off,0.0
28,41,3398,2020-01-07,48,31000,20.76,Paid Off,0.0
29,42,3446,2023-11-08,60,26600,9.0,Active,17364.05
30,43,2154,2020-11-26,36,15200,16.34,Paid Off,0.0
31,45,352,2018-01-20,48,22800,19.45,Paid Off,0.0
32,46,4534,2023-01-30,24,3700,17.35,Paid Off,0.0
33,47,4734,2019-02-08,48,16100,8.4,Defaulted,7368.05
34,48,2858,2021-10-21,24,9200,16.6,Paid Off,0.0
35,49,48,2018-08-14,36,7800,9.4,Paid Off,0.0
36,51,735,2019-04-30,48,15000,9.48,Paid Off,0.0
37,52,3424,2020-07-06,24,2000,15.35,Paid Off,0.0
38,54,1333,2018-06-11,24,9000,8.32,Defaulted,3932.11
39,56,3689,2021-03-28,60,34700,9.45,Active,2855.24
40,59,2848,2020-08-13,48,41100,9.38,Paid Off,0.0
41,60,3003,2023-09-09,48,7300,10.33,Active,3719.48
42,61,4845,2020-09-27,48,32600,7.51,Paid Off,0.0
43,62,1210,2019-02-24,24,9400,14.13,Paid Off,0.0
44,63,939,2022-04-26,24,6700,16.58,Paid Off,0.0
45,64,2208,2018-07-26,24,22200,14.48,Paid Off,0.0
46,65,3619,2022-05-29,48,7600,10.6,Active,1134.39
47,66,143,2019-01-05,24,5800,11.12,Paid Off,0.0
48,67,3638,2021-12-25,48,9800,12.76,Active,258.99
49,68,2525,2021-05-03,12,2300,11.44,Defaulted,990.25
50,69,2066,2018-01-21,48,34600,14.39,Paid Off,0.0
51,70,207,2019-06-29,12,3900,20.72,Paid Off,0.0
