application_id,customer_id,app_date,amount_requested,loan_purpose,loan_term_months,approved
1,4969,2020-11-21,2400,Debt consolidation,12,1
2,1599,2020-03-29,49800,Wedding,60,0
3,4760,2023-01-03,6400,Business,36,1
4,1407,2021-08-18,3300,Home improvement,12,1
5,3115,2020-07-04,15700,Debt consolidation,48,1
6,46,2022-08-22,3100,Debt consolidation,24,1
7,1235,2022-07-06,3500,Education,24,1
8,1455,2022-04-08,5100,Debt consolidation,36,1
9,3766,2018-09-16,18700,Debt consolidation,48,1
10,981,2022-07-05,2900,Home improvement,12,1
11,4408,2023-07-11,88300,Home improvement,48,1
12,1555,2023-06-06,13500,Wedding,36,1
13,1129,2020-11-18,34300,Debt consolidation,48,1
14,2746,2019-05-10,414700,Business,72,0
15,2718,2019-08-07,35400,Business,48,0
16,4955,2023-06-13,40100,Debt consolidation,48,0
17,2915,2020-07-16,25400,Wedding,48,0
18,3051,2020-05-10,46300,Education,60,0
19,1368,2021-07-26,10900,Debt consolidation,24,1
20,974,2023-09-04,10500,Debt consolidation,24,1
21,3648,2019-04-01,9500,Car Purchase,24,1
22,4283,2023-06-24,34100,Car Purchase,48,0
23,1391,2020-07-23,17000,Debt consolidation,48,1
24,3441,2018-03-16,8000,Home improvement,24,0
25,3438,2023-02-17,7400,Car Purchase,48,1
26,4599,2023-06-18,6600,Medical,48,1
27,4989,2020-10-25,1900,Medical,24,1
28,2585,2021-09-28,11700,Home improvement,36,1
29,4167,2018-06-24,63600,Debt consolidation,60,1
30,2214,2023-09-14,48300,Debt consolidation,60,0
31,4155,2018-05-15,53800,Debt consolidation,48,0
32,4085,2019-01-17,1500,Debt consolidation,24,0
33,1208,2020-07-27,3500,Debt consolidation,24,1
34,2916,2022-03-24,3000,Home improvement,24,1
35,3908,2020-07-19,49400,Business,60,1
36,4493,2022-04-16,81900,Education,48,1
37,160,2020-11-02,33300,Debt consolidation,60,0
38,2708,2022-10-10,7800,Debt consolidation,48,1
39,3886,2020-01-17,5800,Debt consolidation,48,1
40,4204,2018-12-24,46700,Debt consolidation,48,0
41,3398,2019-12-13,31000,Debt consolidation,48,1
42,3446,2023-10-12,26600,Moving,60,1
43,2154,2020-10-30,15200,Debt consolidation,36,1
44,3575,2022-03-23,5700,Home improvement,24,0
45,352,2018-01-06,22800,Debt consolidation,48,1
46,4534,2022-12-31,3700,Vacation,24,1
47,4734,2019-01-20,16100,Home improvement,48,1
48,2858,2021-10-10,9200,Medical,24,1
49,48,2018-08-06,7800,Home improvement,36,1
50,159,2018-10-27,24000,Debt consolidation,48,0
51,735,2019-04-18,15000,Home improvement,48,1
52,3424,2020-06-27,2000,Debt consolidation,24,1
53,2041,2020-06-05,21900,Medical,36,0
54,1333,2018-05-21,9000,Home improvement,24,1
55,3743,2019-05-16,74000,Business,60,0
56,3689,2021-03-21,34700,Home improvement,60,1
57,2861,2018-05-15,8200,Business,36,0
58,4917,2019-05-24,4400,Debt consolidation,12,0
59,2848,2020-07-20,41100,Moving,48,1
60,3003,2023-08-23,7300,Education,48,1
61,4845,2020-09-06,32600,Home improvement,48,1
62,1210,2019-01-25,9400,Vacation,24,1
63,939,2022-04-14,6700,Debt consolidation,24,1
64,2208,2018-06-29,22200,Debt consolidation,24,1
65,3619,2022-05-03,7600,Wedding,48,1
66,143,2018-12-24,5800,Business,24,1
67,3638,2021-12-02,9800,Wedding,48,1
68,2525,2021-04-11,2300,Medical,12,1
69,2066,2018-01-05,34600,Debt consolidation,48,1
70,207,2019-06-04,3900,Debt consolidation,12,1
71,1481,2019-03-09,19000,Business,48,1
72,3884,2019-12-20,9000,Debt consolidation,24,0
73,4098,2023-01-05,36400,Home improvement,48,1
74,4064,2018-10-27,3400,Wedding,24,1
75,2658,2019-01-19,18400,Home improvement,24,1
76,2871,2021-06-19,9100,Debt consolidation,48,1
77,1821,2018-12-06,6500,Home improvement,36,1
78,4509,2019-10-18,47900,Moving,48,1
79,3550,2019-01-17,46900,Wedding,48,1
80,1003,2019-05-31,35300,Medical,60,1
81,3065,2023-11-05,6800,Home improvement,24,0
82,2359,2020-02-25,30600,Debt consolidation,48,1
83,566,2018-05-25,21300,Car Purchase,48,1
84,4832,2021-12-30,2600,Car Purchase,12,1
85,4604,2023-05-23,28000,Debt consolidation,48,1
86,3920,2022-02-13,4200,Business,12,1
87,1589,2023-04-12,16700,Education,48,1
88,3074,2018-12-17,9500,Debt consolidation,24,1
89,192,2021-07-08,20100,Business,24,1
90,2348,2022-01-03,12600,Car Purchase,36,1
91,4876,2017-12-24,5600,Home improvement,24,1
92,4161,2020-12-26,31500,Education,48,1
93,4017,2021-05-22,15900,Moving,36,1
94,2556,2021-01-06,30700,Wedding,48,0
95,2005,2018-12-19,75100,Debt consolidation,48,1
96,988,2019-07-10,7300,Debt consolidation,48,0
97,2223,2021-05-30,340600,Education,60,0
98,285,2019-01-30,24900,Moving,36,1
99,4249,2018-12-05,1600,Business,12,1
100,1616,2021-01-28,15100,Home improvement,48,1
101,2126,2018-06-18,7200,Home improvement,48,1
102,249,2019-03-16,8400,Medical,48,1
103,4159,2021-10-17,13300,Moving,36,1
104,3552,2023-07-09,5100,Wedding,36,0
105,2998,2018-12-23,33100,Business,48,1
106,920,2021-02-02,34000,Vacation,48,1
107,3313,2018-10-25,4100,Debt consolidation,12,1
108,3449,2019-01-15,4600,Car Purchase,24,1
109,1,2023-07-02,6100,Debt consolidation,24,1
110,4719,2021-05-12,8300,Debt consolidation,36,1
111,3427,2021-11-22,4500,Medical,24,1
112,2195,2018-03-30,2700,Business,12,1
113,1093,2021-07-26,3900,Wedding,24,1
114,1662,2020-07-30,8800,Education,48,1
115,589,2021-04-08,1600,Home improvement,24,1
